0,10;0,46;374,51;1,00;0,36;420,33;5,00;0,34;491,74;10,00;0,32;551,02;15,00;0,44;602,21;20,00;0,49;679,00;25,00;0,66;763,87;30,00;0,99;827,16;35,00;1,57;837,89
0,10;0,64;369,11;1,00;0,53;413,58;5,00;0,46;479,60;10,00;0,48;540,23;15,00;0,58;590,07;20,00;0,63;660,13;25,00;0,73;746,35;30,00;1,03;808,29;35,00;1,64;817,67
0,10;0,88;362,35;1,00;0,72;405,48;5,00;0,65;467,46;10,00;0,70;528,08;15,00;0,74;577,93;20,00;0,79;643,94;25,00;0,82;728,82;30,00;1,13;789,42;35,00;1,74;800,15
0,10;1,09;355,60;1,00;0,90;397,38;5,00;0,86;455,32;10,00;0,95;514,59;15,00;0,93;565,79;20,00;0,98;627,76;25,00;0,96;709,95;30,00;1,22;771,90;35,00;1,86;782,63
0,10;1,33;348,84;1,00;1,09;390,62;5,00;1,07;444,52;10,00;1,19;503,79;15,00;1,14;553,64;20,00;1,24;610,22;25,00;1,10;692,42;30,00;1,34;754,38;35,00;1,97;761,06
0,10;1,51;343,43;1,00;1,28;383,87;5,00;1,35;435,06;10,00;1,42;494,34;15,00;1,33;544,20;20,00;1,47;596,73;25,00;1,31;672,19;30,00;1,48;736,85;35,00;2,18;735,44
0,10;1,70;338,03;1,00;1,49;377,12;5,00;1,63;425,61;10,00;1,61;486,24;15,00;1,52;536,10;20,00;1,73;581,89;25,00;1,52;654,66;30,00;1,67;716,62;35,00;2,40;713,87
0,10;1,89;331,28;1,00;1,70;370,36;5,00;1,92;418,85;10,00;1,89;475,44;15,00;1,75;527,99;20,00;2,04;568,39;25,00;1,73;638,47;30,00;1,85;697,75;35,00;2,63;693,64
0,10;2,13;325,87;1,00;1,94;363,61;5,00;2,20;410,74;10,00;2,18;465,98;15,00;1,99;519,89;20,00;2,37;554,89;25,00;1,97;623,63;30,00;2,11;677,51;35,00;2,86;674,75
0,10;2,34;319,11;1,00;2,17;356,85;5,00;2,48;402,63;10,00;2,44;457,88;15,00;2,27;510,43;20,00;2,70;541,39;25,00;2,20;608,79;30,00;2,32;662,68;35,00;3,17;654,52
